127.0.0.1 - - [24/Oct/2023:17:39:05 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [24/Oct/2023:17:39:09 +0530] "GET /signup/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Oct/2023:17:39:09 +0530] "GET /signup/login.jsp HTTP/1.1" 200 2580
0:0:0:0:0:0:0:1 - - [24/Oct/2023:17:39:09 +0530] "GET /signup/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2023:17:39:09 +0530] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [24/Oct/2023:17:39:09 +0530] "GET /signup/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2023:17:39:09 +0530] "GET /signup/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2023:17:39:09 +0530] "GET /signup/images/signin-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2023:17:39:10 +0530] "GET /signup/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2023:17:39:10 +0530] "GET /signup/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2023:17:39:10 +0530] "GET /signup/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2023:17:39:10 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [24/Oct/2023:17:39:13 +0530] "POST /signup/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Oct/2023:17:39:13 +0530] "GET /signup/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Oct/2023:17:39:13 +0530] "GET /signup/login.jsp HTTP/1.1" 200 2580
0:0:0:0:0:0:0:1 - - [24/Oct/2023:17:39:13 +0530] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [24/Oct/2023:17:39:23 +0530] "POST /signup/Login HTTP/1.1" 200 2580
0:0:0:0:0:0:0:1 - - [24/Oct/2023:17:39:23 +0530] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [24/Oct/2023:17:39:32 +0530] "POST /signup/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Oct/2023:17:39:32 +0530] "GET /signup/manager_home.jsp HTTP/1.1" 200 2920
